Gender,Generation,Term Sub Reason,Employee Grade,Location,Career Bucket,Age Bucket,Manager ID,Talent,Department,active_months
Female,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,102292,,AC,59.0
Female,Millennials,Career Growth,Mid,Bengaluru,31 to 35,26 To 30,100411,,AD,4.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,102304,,AG,26.0
Male,Gen X,Career Growth,Senior,Bengaluru,Above 35,36 T0 40,102324,,AI,126.0
Male,Millennials,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,100619,,AI,126.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100846,,AI,112.0
Male,Millennials,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,102324,,AI,137.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100598,,AI,13.0
Male,Millennials,Personal Reason,Junior,Bengaluru,Below 30,21 To 25,100726,,AI,42.0
Male,Millennials,Personal Reason,Junior,Bengaluru,Below 30,21 To 25,100667,,AI,43.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101059,,AO,90.0
Male,Gen X,Career Growth,Junior,Bengaluru,Above 35,36 T0 40,101321,,AP,76.0
Male,Millennials,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,101379,,AQ,66.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,102350,,AS,61.0
Male,Millennials,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,100188,,AC,88.0
Male,Millennials,Personal Reason,Junior,Bengaluru,31 to 35,26 To 30,100416,,AD,37.0
Female,Millennials,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,100439,,AI,59.0
Male,Millennials,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,101040,,AU,67.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,41 T0 45,100254,,AV,69.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,21 To 25,101571,,AS,8.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,31 To 35,100543,,AW,15.0
Male,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100620,,AI,23.0
Female,Millennials,Career Growth,Junior,Bengaluru,31 to 35,26 To 30,100667,,AI,42.0
Male,Millennials,Career Growth,Mid,Bengaluru,Below 30,26 To 30,100754,,AI,81.0
Male,Millennials,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,101059,,AO,31.0
Male,Millennials,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,101379,,AQ,66.0
Female,Gen X,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,101444,,AR,14.0
Female,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101569,,AS,78.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,102366,,AT,128.0
Male,Millennials,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,100296,,AT,14.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101540,,AY,74.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,100282,,AX,88.0
Female,Millennials,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,102367,,AZ,47.0
Female,Millennials,Career Growth,Junior,Gujarath,31 to 35,26 To 30,102368,,BA,91.0
Female,Millennials,Career Growth,Junior,Bengaluru,Below 30,21 To 25,100794,,AI,34.0
Female,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100439,,AI,70.0
Male,Millennials,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,100650,,AI,100.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,102387,,BD,22.0
Male,Millennials,Personal Reason,Junior,Bengaluru,Below 30,26 To 30,101288,,BE,60.0
Female,Millennials,Career Growth,Junior,Bengaluru,Below 30,21 To 25,101377,,AQ,24.0
Male,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101444,,AR,117.0
Female,Millennials,Career Growth,Junior,Bengaluru,Below 30,21 To 25,101451,,AR,39.0
Female,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100442,,BF,36.0
Female,Millennials,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100186,,AC,62.0
Male,Millennials,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,100277,,AX,50.0
Male,Gen X,Relocated to Other Branch,Senior,Bengaluru,Above 35,46 T0 50,102383,,AD,83.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101058,,AU,21.0
Female,Gen X,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101076,,BG,132.0
Male,Millennials,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101162,,BH,29.0
