Gender,Generation,Term Sub Reason,Employee Grade,Location,Career Bucket,Age Bucket,Manager ID,Talent,Department,active_months,,,,,,
1,2,1,1,1,1,2,102292,5,2,59,,,,,,
1,2,1,2,1,2,2,100411,5,3,4,,,,,,
0,2,1,1,1,1,2,102304,5,5,26,,,,,,
0,3,1,3,1,3,4,102324,5,7,126,,,,,,
0,2,11,2,1,2,3,100619,5,7,126,,,,,,
0,2,1,1,1,2,3,100846,5,7,112,,,,,,
0,2,1,2,1,2,3,102324,5,7,137,,,,,,
0,2,1,1,1,2,3,100598,5,7,13,,,,,,
0,2,11,1,1,1,1,100726,5,7,42,,,,,,
0,2,11,1,1,1,1,100667,5,7,43,,,,,,
0,3,1,2,1,3,4,101059,5,11,90,,,,,,
0,3,1,1,1,3,4,101321,5,12,76,,,,,Fit,
0,2,1,2,1,2,3,101379,5,13,66,,,,,Mean,8.8
0,2,1,1,1,2,3,102350,5,15,61,,,,,Std,6.140032573
0,2,1,2,1,2,3,100188,5,2,88,,,,,,
0,2,11,1,1,2,2,100416,5,3,37,,,,,,
1,2,11,2,1,2,3,100439,5,7,59,,,,,,
0,2,11,1,1,2,3,101040,5,17,67,,,,,,
0,3,1,2,1,3,5,100254,5,18,69,,,,,Min,4
0,2,1,1,1,1,1,101571,5,15,8,,,,,Max,19
0,3,1,2,1,3,3,100543,5,19,15,,,,,,
0,2,1,1,1,1,2,100620,5,7,23,,,,,,
1,2,1,1,1,2,2,100667,5,7,42,,,,Transformation,,
0,2,1,2,1,1,2,100754,5,7,81,,,X,Std,Min-Max,
0,2,1,2,1,2,3,101059,5,11,31,,,10,0.195438703,0.4,
0,2,11,1,1,2,3,101379,5,13,66,,,4,-0.78175481,0,
1,3,11,2,1,2,3,101444,5,14,14,,,5,-0.618889225,0.066666667,
1,3,1,2,1,3,4,101569,5,15,78,,,,,,
0,3,1,2,1,3,4,102366,5,16,128,,,,,,
0,2,1,2,1,2,3,100296,5,16,14,,,,,,
0,2,1,1,1,2,3,101540,5,21,74,,,6,-0.456023639,0.133333333,
0,3,1,2,1,3,4,100282,5,20,88,,,19,1.661228972,1,
1,2,1,2,1,2,3,102367,5,22,47,,,,,,
1,2,1,1,3,2,2,102368,5,23,91,,,,,,
1,2,1,1,1,1,1,100794,5,7,34,,,,,,
1,2,1,1,1,2,3,100439,5,7,70,,,,,,
0,2,1,2,1,2,3,100650,5,7,100,,,,,,
0,3,1,2,1,3,4,102387,5,24,22,,,,,,
0,2,11,1,1,1,2,101288,5,25,60,,,,,,
1,2,1,1,1,1,1,101377,5,13,24,,,,,,
0,3,1,2,1,3,4,101444,5,14,117,,,,,,
1,2,1,1,1,1,1,101451,5,14,39,,,,,,
1,2,1,1,1,1,2,100442,5,26,36,,,,,,
1,2,1,1,1,1,2,100186,5,2,62,,,,,,
0,2,11,2,1,2,3,100277,5,20,50,,,,,,
0,3,12,3,1,3,6,102383,5,3,83,,,,,,
0,2,1,1,1,2,3,101058,5,17,21,,,,,,
1,3,1,2,1,3,4,101076,5,27,132,,,,,,
0,2,1,1,1,2,3,101162,5,28,29,,,,,,
0,2,1,1,4,1,2,101322,5,12,28,,,,,,
0,2,1,1,1,1,2,101495,5,18,47,,,,,,
0,2,1,1,1,1,2,101437,5,21,70,,,,,,
0,2,1,2,1,2,3,101540,5,21,79,,,,,,
0,2,1,1,1,2,3,100105,5,9,74,,,,,,
0,2,1,1,1,1,2,100191,5,2,21,,,,,,
1,2,1,1,1,1,2,100186,5,2,47,,,,,,
1,2,1,1,1,1,2,100170,5,2,53,,,,,,
0,2,1,1,1,2,3,100780,5,7,71,,,,,,
0,2,1,1,1,1,2,100794,5,7,71,,,,,,
0,2,1,1,1,1,2,101056,5,17,38,,,,,,
0,3,11,2,2,3,3,101253,5,33,10,,,,,,
0,2,1,1,1,2,3,102417,5,36,61,,,,,,
0,3,14,2,4,3,3,101319,5,12,97,,,,,,
0,3,1,2,6,3,5,101604,5,38,95,,,,,,
0,2,1,1,1,2,3,102420,5,21,17,,,,,,
0,2,1,1,1,2,2,101701,5,21,31,,,,,,
1,2,1,1,1,2,2,101540,5,21,41,,,,,,
0,2,11,2,1,2,3,102420,5,21,45,,,,,,
0,2,5,1,1,1,2,100190,5,2,25,,,,,,
1,2,1,1,1,1,2,100186,5,2,37,,,,,,
0,3,1,2,1,3,4,102361,5,20,73,,,,,,
1,2,13,1,1,2,3,100107,5,29,54,,,,,,
0,2,14,1,1,2,2,100107,5,29,66,,,,,,
1,2,5,1,1,1,1,100583,5,37,36,,,,,,
0,2,14,2,1,2,3,100650,5,7,2,,,,,,
1,2,1,1,1,1,1,100726,5,7,24,,,,,,
0,2,1,1,1,1,1,100620,5,7,24,,,,,,
1,2,5,1,1,1,1,100780,5,7,24,,,,,,
1,2,5,1,1,1,1,100032,5,7,24,,,,,,
1,2,1,1,1,2,3,100650,5,7,31,,,,,,
1,2,5,1,1,1,1,100633,5,7,36,,,,,,
1,2,5,1,1,1,2,100693,5,7,48,,,,,,
1,2,13,1,1,2,3,101059,5,11,40,,,,,,
0,2,13,2,1,2,3,101162,5,28,71,,,,,,
0,2,5,1,1,1,1,101321,5,12,24,,,,,,
1,2,5,1,4,1,2,101322,5,12,48,,,,,,
0,2,5,1,4,1,2,101322,5,12,56,,,,,,
0,2,5,1,1,1,1,101390,5,40,37,,,,,,
0,3,13,2,1,3,4,101150,5,41,124,,,,,,
1,2,5,1,1,1,2,101494,5,26,48,,,,,,
0,2,1,1,1,1,2,102428,5,15,5,,,,,,
0,3,1,2,1,3,6,101568,5,15,71,,,,,,
0,2,5,1,1,1,1,102366,5,16,48,,,,,,
0,2,5,2,1,1,2,102366,5,16,72,,,,,,
0,2,1,1,1,1,1,101540,5,21,25,,,,,,
0,3,1,2,1,3,4,101674,5,21,69,,,,,,
0,2,13,2,1,2,3,100620,5,7,14,,,,,,
0,2,14,1,1,1,2,100605,5,7,25,,,,,,
0,2,5,1,1,1,1,100679,5,7,38,,,,,,
0,2,6,2,1,2,3,100650,5,7,69,,,,,,
0,2,2,1,1,1,2,100692,5,7,74,,,,,,
0,3,1,2,1,3,4,101098,5,42,94,,,,,,
0,2,13,1,1,1,2,101059,5,11,38,,,,,,
0,2,5,1,1,1,2,101321,5,12,37,,,,,,
0,3,11,1,1,3,4,101424,5,14,50,,,,,,
1,2,4,1,1,1,2,101413,5,14,73,,,,,,
0,3,1,2,1,3,4,101164,5,41,133,,,,,,
0,3,15,2,1,3,4,101591,5,15,33,,,,,,
0,2,1,1,1,2,3,101186,5,21,85,,,,,,
0,2,1,1,1,1,2,100186,5,2,28,,,,,,
0,2,1,2,1,2,3,100190,5,2,73,,,,,,
0,2,11,2,1,2,3,100362,5,3,52,,,,,,
1,2,1,2,3,2,3,102402,5,31,64,,,,,,
0,2,4,1,1,1,2,100794,5,7,19,,,,,,
1,2,4,1,1,1,2,100605,5,7,34,,,,,,
1,2,7,1,1,1,2,101458,5,43,25,,,,,,
1,2,13,1,1,1,2,101586,5,15,9,,,,,,
0,2,1,1,1,2,3,102428,5,15,24,,,,,,
0,2,1,1,1,2,3,101465,5,21,29,,,,,,
0,3,1,2,1,3,4,101465,5,21,108,,,,,,
0,3,13,2,1,3,4,100185,5,2,101,,,,,,
1,2,5,1,1,1,1,100754,5,7,28,,,,,,
1,2,13,1,1,2,2,100726,5,7,69,,,,,,
0,2,1,1,1,1,2,101056,5,17,22,,,,,,
0,2,13,1,1,2,3,100076,5,11,28,,,,,,
0,4,1,2,1,3,7,101569,5,15,69,,,,,,
0,2,14,2,1,2,3,101540,5,21,38,,,,,,
0,2,1,1,1,1,1,101224,5,10,26,,,,,,
0,2,1,1,1,1,2,100191,5,2,12,,,,,,
0,2,14,1,1,2,2,100188,5,2,20,,,,,,
0,2,1,2,1,2,3,102360,5,20,18,,,,,,
0,2,1,2,1,1,2,100620,5,7,67,,,,,,
0,2,13,1,1,2,3,100607,5,7,78,,,,,,
0,3,1,2,1,3,4,101150,5,11,42,,,,,,
0,3,5,1,1,3,4,100650,5,7,27,,,,,,
1,2,1,1,1,1,2,100633,5,7,50,,,,,,
0,2,1,2,1,2,3,100692,5,7,75,,,,,,
1,2,11,2,1,2,3,101059,5,11,5,,,,,,
0,2,1,1,1,2,3,101160,5,11,62,,,,,,
0,2,5,1,1,1,1,101321,5,12,30,,,,,,
0,4,1,2,1,3,7,101319,5,12,80,,,,,,
0,3,6,2,6,3,6,101604,5,38,66,,,,,,
0,2,14,1,1,3,3,101515,5,21,68,,,,,,
0,2,14,1,1,1,2,100191,5,2,15,,,,,,
0,2,1,1,1,1,2,100170,5,2,71,,,,,,
0,3,1,2,1,3,4,102292,5,2,74,,,,,,
1,2,4,1,1,1,2,100277,5,20,16,,,,,,
0,3,13,2,1,3,4,100076,5,11,128,,,,,,
0,3,14,2,2,3,4,101253,5,33,18,,,,,,
1,2,4,1,1,2,2,101494,5,18,66,,,,,,
0,2,1,1,1,1,2,100188,5,26,16,,,,,,
0,3,1,2,1,3,4,102436,5,15,17,,,,,,
0,2,1,1,1,1,2,100988,5,15,20,,,,,,
0,3,10,2,1,3,4,101645,5,21,22,,,,,,
0,2,14,1,1,1,2,101645,5,21,66,,,,,,
0,2,5,1,1,2,3,101693,5,21,69,,,,,,
